room,game,hand,won,player0_preflop_fold,player0_flop_fold,player0_turn_fold,player0_river_fold,player0_bet,player0_preflop_bet,player0_flop_bet,player0_turn_bet,player0_river_bet,opponent_preflop_bets,opponent_flop_bets,opponent_turn_bets,opponent_river_bets,opponent_bet,starthandstrategy,flop_hand,turn_hand,river_hand
Halley,1,1,1,0,0,0,0,16.5,2.0,5.0,16.5,16.5,5.0,16.0,44.0,60.5,60.5,Fold,Pair,Pair,
Halley,1,2,0,0,1,0,0,0.5,0.5,0.5,0.5,0.5,1.5,3.0,3.4999999999999996,3.999999999999999,3.999999999999999,Call,Pair,,
Halley,1,4,0,0,0,0,1,6.0,3.0,6.0,6.0,6.0,5.0,17.0,23.0,37.00000000000001,37.00000000000001,Call,Pair,Two Pair,Two Pair
Halley,1,8,0,1,0,0,0,2.0,2.0,2.0,2.0,2.0,9.5,11.5,13.5,15.5,15.5,Fold,,,
Halley,1,15,0,0,0,1,0,3.0,2.0,2.0,3.0,3.0,7.500000000000001,9.500000000000002,20.0,23.0,23.0,Call,Two Pair,Two Pair,
Halley,1,18,0,0,0,1,0,2.0,1.0,2.0,2.0,2.0,3.0,7.000000000000001,13.0,15.0,15.0,Call,High Card,Pair,
Halley,1,21,0,1,0,0,0,3.0,3.0,3.0,3.0,3.0,12.0,15.0,18.0,21.0,21.0,Call,,,
Halley,1,25,1,0,0,0,0,3.0,3.0,3.0,3.0,3.0,3.0,6.0,9.0,12.0,12.0,4-Bet,,,
Halley,1,27,0,0,0,1,0,2.0,2.0,2.0,2.0,2.0,3.0,5.0,8.5,10.5,10.5,Call,High Card,Pair,
Halley,1,28,1,0,0,0,0,13.0,2.0,2.0,4.0,13.0,4.0,6.0,14.000000000000002,36.0,36.0,Fold,High Card,High Card,High Card
Halley,1,45,0,0,1,0,0,2.0,2.0,2.0,2.0,2.0,4.0,8.499999999999998,10.5,12.5,12.5,Fold,High Card,,
Halley,1,47,0,0,0,0,0,15.0,3.0,3.0,5.5,15.0,5.0,8.0,18.5,52.49999999999999,52.49999999999999,Call,High Card,High Card,Pair
Halley,1,48,1,0,0,0,0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,6.0,8.0,8.0,Call,,,
Halley,1,58,0,0,0,0,0,29.500000000000004,2.5,4.5,6.5,29.500000000000004,8.5,20.999999999999996,33.5,109.0,109.0,Call,Pair,Pair,Pair
Halley,1,62,0,0,1,0,0,2.0,2.0,2.0,2.0,2.0,4.0,10.0,12.0,14.000000000000002,14.000000000000002,Call,Pair,,
Halley,1,64,0,1,0,0,0,2.0,2.0,2.0,2.0,2.0,17.5,19.499999999999996,21.499999999999996,42.49999999999999,42.49999999999999,Fold,Pair,Pair,Two Pair
Halley,1,67,0,0,1,0,0,2.0,2.0,2.0,2.0,2.0,4.0,9.0,11.0,13.0,13.0,Call,High Card,,
Halley,1,71,1,0,0,0,0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,6.0,8.0,8.0,Call,,,
Halley,1,72,1,0,0,0,0,3.0,3.0,3.0,3.0,3.0,3.0,6.0,9.0,12.0,12.0,3-Bet,,,
Halley,1,74,1,0,0,0,0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,6.0,8.0,8.0,Fold,,,
